"filename", "language", "Markdown", "TOML", "JSON", "YAML", "JSON with Comments", "Rust", "TypeScript", "HTML", "JavaScript JSX", "Svelte", "comment", "blank", "total"
"d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\deno.lock", "JSON", 0, 0, 826, 0, 0, 0, 0, 0, 0, 0, 0, 1, 827
"d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\package.json", "JSON", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\src\app.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 7, 2, 14
"d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\src\app.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\src\lib\server\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 3, 13
"d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\src\routes\(authed)\+layout.server.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\src\routes\(authed)\+layout.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 3, 10
"d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\src\routes\(authed)\dashboard\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\src\routes\+layout.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 3, 12
"d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\src\routes\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\src\routes\login\+page.server.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 7, 30
"d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\src\routes\login\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 7, 31
"d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\src\routes\logout\+page.server.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\src\routes\register\+page.server.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 6, 28
"d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\src\routes\register\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 10, 47
"d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\svelte.config.js", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 4, 22
"d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 11, 1, 26
"d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 1, 2, 38
"Total", "-", 235, 1755, 893, 242, 14, 6475, 107, 11, 9, 79, 228, 1647, 11695
