Date : 2025-12-02 22:13:04
Directory : d:\root\dev\js\volunteer-hub
Total : 110 files,  9820 codes, 228 comments, 1647 blanks, all 11695 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\moderate_user.rs               | Rust               |         71 |          0 |         17 |         88 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\remove_comment.rs              | Rust               |         51 |          0 |         11 |         62 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\remove_event.rs                | Rust               |         59 |          0 |         16 |         75 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\remove_post.rs                 | Rust               |         51 |          0 |         11 |         62 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\remove_reaction.rs             | Rust               |         51 |          0 |         12 |         63 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\sign_in.rs                     | Rust               |         66 |          0 |         13 |         79 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\sign_up.rs                     | Rust               |         63 |          0 |         19 |         82 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\subscribe_to_event.rs          | Rust               |         71 |          0 |         18 |         89 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\unsubscribe_from_event.rs      | Rust               |         53 |          0 |         14 |         67 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\update_comment.rs              | Rust               |         65 |          0 |         18 |         83 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\update_event.rs                | Rust               |         89 |          0 |         23 |        112 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\update_post.rs                 | Rust               |         71 |          0 |         19 |         90 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\view_event_channel.rs          | Rust               |         86 |          0 |         14 |        100 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\view_event_history.rs          | Rust               |         58 |          0 |         12 |         70 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\view_event_recommendation.rs   | Rust               |         61 |          0 |         11 |         72 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\view_event_volunteers.rs       | Rust               |         58 |          0 |         12 |         70 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\view_events.rs                 | Rust               |         56 |          0 |         10 |         66 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\view_post.rs                   | Rust               |         82 |          0 |         11 |         93 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\view_published_events.rs       | Rust               |         56 |          0 |         10 |         66 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\interactors\view_users.rs                  | Rust               |         51 |          0 |         10 |         61 |
| d:\root\dev\js\volunteer-hub\backend\core\use-cases\src\lib.rs                                     | Rust               |          3 |          0 |          1 |          4 |
| d:\root\dev\js\volunteer-hub\backend\infrastructures\Cargo.toml                                    | TOML               |         26 |          5 |          6 |         37 |
| d:\root\dev\js\volunteer-hub\backend\infrastructures\src\lib.rs                                    | Rust               |        185 |          3 |         51 |        239 |
| d:\root\dev\js\volunteer-hub\deno.json                                                             | JSON               |         22 |          0 |          2 |         24 |
| d:\root\dev\js\volunteer-hub\deno.lock                                                             | JSON               |         17 |          0 |          1 |         18 |
| d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\README.md                                  | Markdown           |         27 |          0 |         15 |         42 |
| d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\deno.lock                                  | JSON               |        826 |          0 |          1 |        827 |
| d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\package.json                               | JSON               |         28 |          0 |          1 |         29 |
| d:\root\dev\js\volunteer-hub\frontend\sveltekit-minimal\src\app.d.ts                               | TypeScript         |          5 |          7 |          2 |         14 |
